"Name","URL"
"Deadspin","http://feeds.gawker.com/deadspin/full"
"Bleacher Report","http://bleacherreport.com/articles/feed"
"CBS Sports","http://www.cbssports.com/partners/feeds/rss/home_news"
"Fox Sports","http://feeds.foxsports.com/feedout/syndicatedContent?categoryId=0"
"ESPN","http://sports.espn.go.com/espn/rss/news"
"Yahoo Sports","http://rss.news.yahoo.com/rss/sports"
"Sports Illustrated","http://rss.cnn.com/rss/si_topstories.rss"
